clean_text,emotion_label,stress_label
kadang kesal sifat kana too easy explode alias emosi ledak ya annoying,sad,0.78
ain lockey but feel bad for that lockey jangan sedih ya wish all the best for denise secret number and lockey semangat lockey dukung denise sn,sad,0.54
teman pas butuh doang gilir butuh hilang kayak culik setan pagi pagi emosi anjing,angry,0.89
ulang bahagia sedih sekian teman,sad,0.58
oi gue tidak enak badan malam indra lucu lucu harap banget guwehh,happy,0.17
aneh banget bego,angry,0.97
tidak bisa santai pakai blush jengkel,neutral,0.23
air deras bawa material potong potong kayu,neutral,0.25
exol juara malu malu fandom,neutral,0.27
request langsung tulis kolom komentar,neutral,0.28
semangat biyaa,happy,0.05
antuk banget ya jam tidur jam bangun,neutral,0.21
sabtu ceria,happy,0.05
buset sedih lucu,sad,0.62
iya sedih banget bayang,sad,0.63
huuh jatuh sekian juta orang allah sayang allah istirahat tidak apa nikmat rulesnya tidak boleh marah sedih indah,neutral,0.23
random banget mimpiin dua lucu budak cinta banget film gara gara film suka film film thailand lucu,happy,0.08
akibat telat bangun anak bangun dapur rumah tidak pegang jam gin sedih beranta gppa anak mandi kenyang alon alon lakon,sad,0.62
masama mbak semangat pagi,happy,0.13
soumu bangsat,angry,0.9
doang melet kaget administrasi bijak sehat,anxious,0.8
paham kondisi cari bincang obrol kayak kayak bego ceng kerja kasihan maaf banget tau marah maaf banget benar tidak ada maksud canda kayak,sad,0.72
kecewa,sad,0.67
semangat thor pokok semangat,happy,0.06
percaya menstruasi tim takut kesandung lucu kayany grup neraka inimah,anxious,0.79
sorot mata tidak sinar sedih ya,sad,0.76
michi taksir teman takut ribut,anxious,0.88
ulang tryhard chamber santai clear,neutral,0.23
amanda teman kelas kelas cantik banget masyaallah bicara anggun bawa adem ketemu anak salihah pintar suka organisasi coba,happy,0.18
enak banget,sad,0.78
gara gara fanart lihat thomaya sedih pikir yoimiya,sad,0.69
tolong ya gue benci banget rapi kebelet berak,anxious,0.89
iya banget siang ku pesan,neutral,0.23
lihat,neutral,0.36
huhu sedih banget on,sad,0.62
kesan kayak tidak butuh dude istg not do not need orang smth tidak mau ejek matre mending mu belikan jangan sering takut beban,anxious,0.79
yhh marah mulu cepat tua mampus,angry,0.92
kadangkala diri henti perhati sadar ketidakhadiranmu buat sepi,sad,0.59
dgrin child tonton zaman rookies sedih gede tidak ada kepala tidak terlalu suka lihat kayak bocah gede,sad,0.64
malu kali,anxious,0.72
jalan luas klakson tolol tidak ada kendara,angry,0.98
think kali announcement series until now lihat how the series works this is sok easly remember there is still long way go maaf gue tidak bawa emosi orang macam,neutral,0.35
gila malu banget,anxious,0.82
geng lgbt patutle libtard gay bodoh tahi,angry,0.94
tidak suka tidak bisa alergi rhinitis dokter kamar jangan ada barang biar tidak parah siklus beli baca jual kasih orang untung reader puji tuhan,happy,0.13
gin tidak worth kabar handphone lucu tidak apa,neutral,0.39
tim zombie meningoy takut gadapet universitas rebah,anxious,0.87
kaget doang,anxious,0.74
emak ku koleksi kopi top gratis gelas mas kopi enak ya ibuk beli gelas,neutral,0.23
ra terima kasih senang dengar suka jennie keren banget,happy,0.03
tidak apa sedih,sad,0.55
suka kopi gula gula kental asa banget ampas,neutral,0.26
tidak punya bodoamat ya lini sepi join agency lucu,neutral,0.32
kalah menang kaget,neutral,0.28
sepi,neutral,0.3
fagg benci banget lihat,angry,0.87
hurmm komputer riba kenal lapang dada nikmat hidup kasih sayang kompen bahagia,neutral,0.34
malu oi,anxious,0.8
