,text,emotion_label,stress_label
0,pagi2 udah di buat emosi :),angry,0.9
1,"kok stabilitas negara, memange 10 thn negara tdk aman, bahkan sby menyuburkan ormas2 radikal, intoleran, teroris, yg berafiliasi ke partai tertentu..narasi klhtn intelektual tp bodoh..",angry,0.93
2,dah lah emosi mulu liat emyu,angry,0.95
3,"aib? bodoh benar! sebelum kata aib itu muncul, terlebih dahulu sudah ada tindakan. yakni kekejian! jangan kau sembunyikan caramu menelaah masalah. semisal anak perempuanmu ditempeleng! apa kau juga setuju untuk dia bersikap bungkam? melapor polisi adl benar. lantas apa bedanya",angry,0.88
4,dih lu yg nyebelin bego,angry,1.0
5,"asli malu maluin org indo tolol yg rep latah ""cilukba"" pake huruf hijaiyah sm ""ngntd"" sama ganti huruf t pake salib, ada tiktok filipin lewat fyp aku dan repnya ""ngtd"" semua, dasar goblogg trend tiktok ter tolol",angry,0.99
6,drama abg tolol,angry,0.88
7,masih emosi sih sama katla kemarin. mana keterangannya gini aja. ((hasil mengaci)) kzl.,angry,0.86
8,"bangsat tribute no.1, bencana no.2 mau ngalahin ini keknya",angry,0.97
9,pengen pergi jauh terus teriak sambil nangis sekencang kencangnya nanti balik kalo gue udah lupa segalanya wkwj kn tolol mustahil banget,angry,0.97
10,ya allah mau marah tpi gimana ya,angry,1.0
11,silibus kita memang kbat gila babi. bodoh yang buat silibus ni. learning should be fun.,angry,0.88
12,"pagi-pagi dikerjain orang haha dikira gua bego, ya gua ladenin lahh liat sampe manaa",angry,0.86
13,"angka covid lagi naek. kalo masih dilanjut event offlinenya, asli bodoh sih ni brand.",angry,0.88
14,"bukan lebih ke sangar sih , kalo menurutku goblokk bin tolol . di ingetin untuk kebaikan malah acuh",angry,1.0
15,"mas ngelonte dulu mas, biar otaknya jadi seger lg, bagi org kafir seperti lu ngewe dgn lonte ibadah yg utama. punya tolol kok kebangetan bgt sih",angry,0.91
16,1-10!! marah aku,angry,0.87
17,tolol banget. mana ada bercinta. yg ada mimpi di kejar kejar setan semalem. asu bocil nih yang iya iya aja kalo bicara,angry,0.97
18,"izinin suami poligami buat menghindari zina? lol banget, heh mmngnya nabi saya poligami gegara mata keranjang trus sangean? trus ada niatan zina, tpi biar gak zina jdi dinikahin? ngelirik cewek sambil nyebarin ajaran agama gitu? tolol, belajar agama lagi sana",angry,0.94
19,gua nyerah joki aja kali ya tugas poem ya allah kenapa aku bego b ing,angry,0.86
20,hah? kaya dendam bnaget sama ibu,angry,0.97
21,huahh benci covid bangett. semoga berhenti di jimin tidak ada jungkook dan juga taehyung. no god pliss,angry,0.87
22,"benci banget sama diri sendiri, gampang nangis kalo ngobrol sama orang tua.",angry,0.86
23,"ni geng lgbt patutle. libtard, gay, bodoh, tahi",angry,0.94
24,iya ni tvn kan suka memancing emosi penonton,angry,0.95
25,sei ini ya gue baru bangun tidur udh bikin emosi aja,angry,0.88
26,mau marah bangeett kenapa orang orang jahat bgt si,angry,0.96
27,kadang suka emosi baca beginian tapi orang goblog emang susah kalo diajak ngobrol,angry,0.9
28,si mutajir mancing emosi sih pagi2,angry,0.9
29,udah gw baca panjang-panjang kirain analisisnya bakal boom. ternyta hanya hasil pikiran otak pendek. tolol,angry,0.98
30,emosi bung,angry,0.86
31,mvp pun kene marah tak capai kpi ke ?,angry,0.93
