clean_text,emotion_label,stress_label
sabar bohong banget asli rumah,angry,0.66
besok jadwal meeting rutin coba santai pas jalan,neutral,0.31
anxious banget meeting banget malam keluarga,anxious,0.85
habis beres kamar kerja sumpah malam keluarga,neutral,0.32
sabar bohong banget,angry,0.84
lelah hadap orang egois random kantor keluarga,angry,0.74
berat banget jalan ya bareng teman keluarga,sad,0.72
senang banget ketemu teman pikir malam,happy,0.12
pagi pergi sebentar minimarket banget asli rumah,neutral,0.41
tonton youtube lucu pagi,neutral,0.22
lolos interview kerja banget asli pagi,happy,0.25
lolos interview kerja banget kantor,happy,0.06
cemas pikir rumah keluarga,anxious,0.72
berat banget jalan banget asli pas jalan,sad,0.74
bingung takut ambil putus random pagi keluarga,anxious,0.75
sedih banget keluarga,sad,0.7
susah pindah on jadi bareng teman keluarga,sad,0.68
kesal banget random pagi,angry,0.84
tonton youtube banget rumah,neutral,0.26
kecewa banget hasil coba santai kantor,sad,0.64
tugas selesai lega banget sumpah,happy,0.26
kecewa banget hasil pikir kampus keluarga,sad,0.67
emosi lihat komentar orang coba santai kampus teman kantor,angry,0.66
kabar keluarga pagi coba santai pagi teman kantor,happy,0.21
geram banget layan pas jalan,angry,0.86
pikir susah tidur jujur pagi keluarga,anxious,0.83
pikir susah tidur lucu pas jalan keluarga,anxious,0.9
istirahat sebentar random kampus,sad,0.81
cemas banget asli rumah,anxious,0.81
susah pindah on jadi random malam,sad,0.67
produktif suasana hati bagus ya kampus,happy,0.07
orang bikin emosi banget pagi,angry,0.77
baca berita santai pikir bareng teman keluarga,neutral,0.43
tugas selesai lega banget ya kampus,happy,0.06
takut hasil jelek serius pagi,anxious,0.77
takut gagal presentasi besok lucu bareng teman teman kantor,anxious,0.78
berat banget jalan pikir kampus,sad,0.59
pikir susah tidur banget asli bareng teman teman kantor,anxious,0.88
bikin banget asli pas jalan teman kantor,angry,0.8
bingung takut ambil putus pikir malam,anxious,0.72
lelah jujur bareng teman,sad,0.61
tidak ada spesial banget pagi,neutral,0.4
cemas pikir random pas jalan,anxious,0.97
hilang semangat banget asli pas jalan,sad,0.7
habis beres kamar kerja sumpah kampus teman kantor,neutral,0.26
deg degan tunggu hasil umum serius pas jalan,anxious,0.71
pikir susah tidur bareng teman,anxious,0.87
hilang semangat banget malam keluarga,sad,0.75
lolos interview kerja kantor,happy,0.21
sedih banget ya kampus teman kantor,sad,0.82
senyum pas jadi ya rumah,happy,0.06
emosi lihat komentar orang coba santai rumah,angry,0.86
kabar keluarga pagi ya pagi,happy,0.08
senyum pas jadi pikir pas jalan,happy,0.15
susah pindah on jadi banget kampus teman kantor,sad,0.71
pagi pergi sebentar minimarket banget kantor,neutral,0.24
kesal banget orang tidak tepat lucu pagi,angry,0.92
tidak ada spesial pikir pagi,neutral,0.43
pikir susah tidur random pagi keluarga,anxious,0.87
kecewa banget hasil banget kampus,sad,0.75
banget malam,sad,0.7
bikin serius kampus keluarga,angry,0.72
baca berita santai pikir rumah keluarga,neutral,0.33
duduk dengar musik pikir pagi teman kantor,neutral,0.21
terima kasih ya bikin hari serius bareng teman,happy,0.26
marah banget kerja beranta pikir keluarga,angry,0.76
senang banget ketemu teman pagi,happy,0.22
bikin sumpah rumah teman kantor,angry,0.84
kecewa banget hasil sumpah kampus teman kantor,sad,0.7
produktif suasana hati bagus pikir keluarga,happy,0.22
duduk dengar musik lucu malam,neutral,0.36
takut hasil jelek random malam keluarga,anxious,0.86
kosong rumah teman kantor,sad,0.74
pikir kampus keluarga,neutral,0.3
cemas random rumah,anxious,0.72
kesal banget orang tidak tepat random bareng teman,angry,0.88
selesai makan siang,neutral,0.45
cuaca lumayan panas pikir bareng teman teman kantor,neutral,0.24
pagi pergi sebentar minimarket pas jalan,neutral,0.29
minggu seru banget banget pas jalan,happy,0.15
lelah hadap orang egois serius pagi keluarga,angry,0.71
kesal banget orang tidak tepat pikir bareng teman keluarga,angry,0.86
pagi pergi sebentar minimarket banget asli pas jalan,neutral,0.22
rumah,neutral,0.42
duduk dengar musik serius malam,neutral,0.4
habis beres kamar kerja serius kampus,neutral,0.27
deg degan tunggu hasil umum random pagi,anxious,0.92
kabar keluarga pagi coba santai,happy,0.29
sabar bohong malam,angry,0.73
makan favorit bikin bahagia sumpah pagi keluarga,happy,0.07
minggu seru banget bareng teman teman kantor,happy,0.09
anxious banget meeting serius pagi,anxious,0.72
kabar keluarga pagi random bareng teman,happy,0.06
tugas selesai lega banget lucu kampus,happy,0.23
duduk dengar musik ya rumah teman kantor,neutral,0.25
senang banget ketemu teman banget asli bareng teman,happy,0.16
takut hasil jelek banget asli malam keluarga,anxious,0.83
cemas jujur pas jalan,anxious,0.9
tidak ada spesial coba santai pagi,neutral,0.27
