text,emotion_label,stress_label
anxious banget sebelum meeting tadi sih di kantor sama dia,anxious,0.8
kehilangan semangat buat ngapa ngapain tapi yaudahlah pas perjalanan,sad,0.64
takut gagal di presentasi besok tapi yaudahlah di kampus sama temen kantor,anxious,0.81
akhir minggu ini seru banget serius tadi pagi sama dia,happy,0.16
makan favorit hari ini bikin bahagia wkwk sama keluarga,happy,0.11
anxious banget sebelum meeting tadi jujur aja sama keluarga,anxious,0.94
takut gagal di presentasi besok wkwk pas perjalanan sama keluarga,anxious,0.71
akhir minggu ini seru banget wkwk di kampus sama dia,happy,0.17
udah sabar tapi masih dibohongin banget tadi pagi sama dia,angry,0.7
deg degan nunggu hasil pengumuman dan kepikiran terus bareng temen sama dia,anxious,0.94
capek sama keadaan sekarang sumpah di kampus,sad,0.62
marah banget karena kerjaan berantakan serius tadi pagi sama temen kantor,angry,0.69
deg degan nunggu hasil pengumuman sumpah bareng temen sama temen kantor,anxious,0.95
tadi pagi pergi sebentar ke minimarket hari ini pas perjalanan sama dia,neutral,0.26
geram banget sama pelayanan tadi wkwk sama dia,angry,0.84
seneng banget hari ini ketemu temen lama banget pas perjalanan sendiri,happy,0.08
ngerasa sendirian akhir akhir ini dari tadi kepikiran di rumah sama temen kantor,sad,0.73
rasanya kosong aja hari ini wkwk di kampus sendiri,sad,0.7
kepikiran banyak hal sampai susah tidur agak random sih tadi pagi sama keluarga,anxious,0.79
kepikiran banyak hal sampai susah tidur banget asli di kantor sama dia,anxious,0.9
takut kalau hasilnya jelek dari tadi kepikiran bareng temen,anxious,0.89
takut gagal di presentasi besok jujur aja di rumah sama dia,anxious,0.97
kepikiran banyak hal sampai susah tidur agak random sih di rumah,anxious,0.98
marah banget karena kerjaan berantakan banget asli,angry,0.94
dapat kabar baik dari keluarga tadi pagi dan kepikiran terus waktu malam sama keluarga,happy,0.11
habis beresin kamar dan lanjut kerja tapi yaudahlah di kantor sendiri,neutral,0.23
bingung dan takut ambil keputusan serius di kantor sendiri,anxious,0.98
seneng banget hari ini ketemu temen lama wkwk pas perjalanan sendiri,happy,0.12
lagi duduk sambil denger musik bareng temen sama dia,neutral,0.34
geram banget sama pelayanan tadi sumpah di rumah sama keluarga,angry,0.93
makasih ya udah bikin hariku lebih baik agak random sih di rumah sendiri,happy,0.27
hari ini berat banget dijalanin sumpah sama temen kantor,sad,0.57
lagi baca berita sambil santai wkwk bareng temen sama keluarga,neutral,0.34
akhirnya tugas selesai juga lega banget dan kepikiran terus di kampus sama dia,happy,0.09
dapat kabar baik dari keluarga tadi pagi wkwk tadi pagi,happy,0.1
kehilangan semangat buat ngapa ngapain jujur aja sama temen kantor,sad,0.78
kesel banget sama orang yang ga tepat waktu agak random sih pas perjalanan sama keluarga,angry,0.9
orang itu bikin emosi banget padahal udah coba santai sama dia,angry,0.81
hari ini berat banget dijalanin hari ini pas perjalanan sama temen kantor,sad,0.71
baru selesai makan siang tadi tapi yaudahlah bareng temen sama dia,neutral,0.44
kenapa sih harus bikin masalah terus agak random sih,angry,0.79
takut kalau hasilnya jelek agak random sih tadi pagi sama temen kantor,anxious,0.9
hari ini ga ada hal spesial dari tadi kepikiran,neutral,0.3
capek sih tapi puas hasilnya bagus serius pas perjalanan sendiri,happy,0.22
