clean_text,emotion_label,stress_label
nama lanjur sayang ribet cuek tidak bisa marah tidak bisa bisa diam diam diam sesal diam diam menang,sad,0.79
orang bikin emosi banget ya kampus,angry,0.84
kesal banget orang tidak tepat coba santai rumah,angry,0.84
marah banget kerja beranta random rumah keluarga,angry,0.88
habis beres kamar kerja banget pagi,neutral,0.42
kabar keluarga pagi sumpah rumah,happy,0.23
berat banget jalan rumah teman kantor,sad,0.81
dibase cari mutual bilang suka foto tidak jelas post banget tertawa lucu,happy,0.14
susah pindah on jadi serius rumah keluarga,sad,0.83
besok jadwal meeting rutin banget asli kampus,neutral,0.21
kecewa banget hasil sumpah teman kantor,sad,0.72
lelah puas hasil bagus pagi,happy,0.06
lelah puas hasil bagus sumpah,happy,0.28
oke marah manusia marah laku tidak adil jangan sampai pengaruh ya lucu buang mu jangan sampai buang mu beda,neutral,0.33
lelah puas hasil bagus pikir kampus,happy,0.1
lolos interview kerja banget asli teman kantor,happy,0.18
besok jadwal meeting rutin sumpah pas jalan,neutral,0.24
ya kerja kerja kerja,neutral,0.39
lelah serius malam teman kantor,sad,0.66
pikir bareng teman,sad,0.75
kesal banget orang tidak tepat sumpah keluarga,angry,0.83
kecewa banget hasil banget kantor,sad,0.63
besok jadwal meeting rutin coba santai pas jalan,neutral,0.31
besok jadwal meeting rutin banget asli rumah,neutral,0.39
ih takut banget loch lucu makasyii,happy,0.14
malu malu takut salah langkah,anxious,0.77
cuaca lumayan panas serius malam,neutral,0.24
belikan makan tidak ada,neutral,0.29
cuaca lumayan panas kantor,neutral,0.29
jarina hasebe hobi ngomel marah marah,angry,0.94
salah lucu orang orang ikut sedih ya gue tidak sedih,neutral,0.39
geram banget layan serius pas jalan,angry,0.81
bikin teman kantor,angry,0.75
orang benci orang ngroko ngevape pakai pod mana tempat benci,angry,0.9
orang bikin emosi banget ya kampus teman kantor,angry,0.78
kesal banget orang tidak tepat rumah,angry,0.71
takut gagal presentasi besok serius rumah keluarga,anxious,0.9
gugup bareng teman,anxious,0.88
gugup serius teman kantor,anxious,0.72
cemas pikir jujur kampus teman kantor,anxious,0.74
emosi lihat komentar orang banget pagi,angry,0.9
senang banget ketemu teman banget kampus,happy,0.09
sumpah rumah teman kantor,neutral,0.23
bismillah desiliun takut berat hisab hem,anxious,0.81
produktif suasana hati bagus jujur kantor,happy,0.3
butuh season pokoknyaa khusus kkakkung couple sedih momen sebentar banget moga yesung oppa cepat cepat pasang real life meni oppa tunggu undang,sad,0.7
pagi pergi sebentar minimarket banget rumah,neutral,0.34
istirahat sebentar kantor,sad,0.61
pagi pagi kabar huhu menang banget terima kasih ya allah,happy,0.09
food is more tahan si fat calorie counts duuh sedih banget bawa pulang cake pastry riset cari bahan buat jam dikomentarin aduh lemak ya,sad,0.51
cuaca lumayan panas serius malam,neutral,0.27
barusan tonton sedih il rak benar anak sok salah sangka doang,sad,0.79
topa tolol bukan arti orang pindah,angry,0.99
sedih banget sumpah kantor teman kantor,sad,0.7
deg degan tunggu hasil umum banget asli rumah keluarga,anxious,0.73
cemas pikir random kampus,anxious,0.75
besok jadwal meeting rutin banget asli pas jalan teman kantor,neutral,0.41
takut gagal presentasi besok random pagi keluarga,anxious,0.73
takut gagal presentasi besok random kampus,anxious,0.88
percaya banget mama cakap banget suka genit huek godain mamak,neutral,0.23
deg degan tunggu hasil umum pikir kantor teman kantor,anxious,0.88
cuaca lumayan panas sumpah malam teman kantor,neutral,0.36
minggu seru banget random pas jalan teman kantor,happy,0.26
produktif suasana hati bagus lucu rumah keluarga,happy,0.28
cemas pikir rumah,anxious,0.84
geram banget layan pikir pagi keluarga,angry,0.86
gugup malam teman kantor,anxious,0.93
kesal banget orang tidak tepat rumah,angry,0.73
marah pikir kantor,angry,0.82
kabar keluarga pagi serius malam,happy,0.06
sabar bohong sumpah pagi,angry,0.77
murung murung lucu,happy,0.04
habis beres kamar kerja sumpah,neutral,0.33
takut gagal presentasi besok serius kantor,anxious,0.74
kecewa banget hasil serius kampus,sad,0.84
